Parameter,Time,Value,Global
F3,0.37,2556.326530612245,False
F3,0.38,2614.4897959183677,False
F3,0.39,2684.285714285714,False
F3,0.4,2765.714285714286,False
F3,0.41000000000000003,2835.5102040816323,False
F3,0.42,2893.673469387755,False
F3,0.43,2940.204081632653,False
F3,0.44,2975.1020408163267,False
F3,0.45,2998.3673469387754,False
F3,0.46,3010.0,False
F3,0.47000000000000003,3010.0,False
F3,0.48,3010.0,False
F3,0.49,3010.0,False
F3,0.5,3010.0,False
F3,0.51,3010.0,False
F3,0.52,3010.0,False
F3,0.53,3010.0,False
F3,0.54,3010.0,False
F3,0.55,3010.0,False
F3,0.56,3010.0,False
F3,0.5700000000000001,3010.0,False
F3,0.58,3010.0,False
F3,0.59,3010.0,False
F3,0.6,3010.0,False
F3,0.61,3010.0,False
F3,0.62,3010.0,False
F3,0.63,3010.0,False
F3,0.64,3010.0,False
F3,0.65,3010.0,False
F3,0.66,3010.0,False
F3,0.67,3010.0,False
F3,0.68,3010.0,False
F3,0.6900000000000001,3010.0,False
F3,0.7000000000000001,3010.0,False
F3,0.71,3010.0,False
F3,0.72,3010.0,False
F3,0.73,3010.0,False
F3,0.74,2994.285714285714,False
F3,0.75,2962.8571428571427,False
F3,0.76,2915.714285714286,False
F3,0.77,2852.8571428571427,False
F3,0.78,2774.285714285714,False
F3,0.79,2680.0,False
F3,0.8,2570.0,False
F3,0.81,2475.714285714286,False
F3,0.8200000000000001,2397.1428571428573,False
F3,0.8300000000000001,2334.285714285714,False
F3,0.84,2287.1428571428573,False
F3,0.85,2255.714285714286,False
F3,0.86,2240.0,False
F3,0.87,2240.0,False
F3,0.88,2240.0,False
F3,0.89,2240.0,False
F3,0.9,2240.0,False
F3,0.91,2240.0,False
F3,0.92,2240.0,False
F3,0.93,2240.0,False
F3,0.9400000000000001,2240.0,False
F3,0.9500000000000001,2240.0,False
F3,0.96,2240.0,False
F3,0.97,2240.0,False
F3,0.98,2240.0,False
F3,0.99,2240.0,False
F3,1.0,2240.0,False
F3,1.01,2240.0,False
F3,1.02,2240.0,False
F3,1.03,2240.0,False
F3,1.04,2240.0,False
F3,1.05,2240.0,False
F3,1.06,2240.0,False
F3,1.07,2240.0,False
F3,1.08,2240.0,False
F3,1.09,2240.0,False
F3,1.1,2240.0,False
F3,1.11,2240.0,False
F3,1.12,2240.0,False
F3,1.1300000000000001,2240.0,False
F3,1.1400000000000001,2240.0,False
F3,1.1500000000000001,2247.3469387755104,False
F3,1.16,2262.0408163265306,False
F3,1.17,2284.081632653061,False
F3,1.18,2313.469387755102,False
F3,1.19,2350.204081632653,False
F3,1.2,2394.285714285714,False
F3,1.21,2445.714285714286,False
F3,1.22,2489.795918367347,False
F3,1.23,2526.530612244898,False
F3,1.24,2555.918367346939,False
F3,1.25,2577.9591836734694,False
F3,1.26,2592.6530612244896,False
F3,1.27,2600.0,False
F3,1.28,2600.0,False
F3,1.29,2600.0,False
F3,1.3,2600.0,False
F3,1.31,2600.0,False
F3,1.32,2600.0,False
F3,1.33,2600.0,False
F3,1.34,2600.0,False
F3,1.35,2600.0,False
F3,1.36,2600.0,False
F3,1.37,2600.0,False
F3,1.3800000000000001,2600.0,False
F3,1.3900000000000001,2600.0,False
F3,1.4000000000000001,2600.0,False
F3,1.41,2600.0,False
F3,1.42,2600.0,False
F3,1.43,2600.0,False
F3,1.44,2600.0,False
F3,1.45,2600.0,False
F3,1.46,2600.0,False
F3,1.47,2600.0,False
F3,1.48,2600.0,False
F3,1.49,2600.0,False
F3,1.5,2600.0,False
F3,1.51,2600.0,False
F3,1.52,2600.0,False
F3,1.53,2600.0,False
F3,1.54,2592.8571428571427,False
F3,1.55,2578.5714285714284,False
F3,1.56,2557.1428571428573,False
F3,1.57,2528.5714285714284,False
F3,1.58,2492.8571428571427,False
F3,1.59,2450.0,False
F3,1.6,2400.0,False
